Código	Nombre Prueba	"Tiempo de Entrega(Días hábiles)"	"Precio (Sin I.V.A.)"	Precio (Con I.V.A.)
14	Selenio	Favor de comunicarse para solicitar información.		
15	Estradiol (E2)	0	$102.59 	$119.00 
29	17 Alfa Hidroxiprogesterona	2	$150.86 	$175.00 
50	Ácido Fólico (Folato)	0	$190.52 	$221.00 
50	Folato (Ácido Fólico)	0	$190.52 	$221.00 
58	Ácido Láctico (Lactato) 	6	$382.76 	$444.00 
58	Lactato (Ácido Láctico)	6	$382.76 	$444.00 
67	Ácido Úrico	0	$24.14 	$28.00 
68	"Ácido Valpróico (Valproato) (Depakene, Atemperator)"	0	$173.28 	$201.00 
68	"Valproato (Ácido Valpróico) (Depakene, Atemperator)"	0	$173.28 	$201.00 
83	Examen General de Orina (EGO)	0	$65.52 	$76.00 
85	Albúmina	0	$24.14 	$28.00 
88	Aldosterona	3	$373.28 	$433.00 
92	Alfa Fetoproteína (AFP)	0	$142.24 	$165.00 
92	Alfaglobulina Fetal (AFP)	0	$142.24 	$165.00 
101	Alfa-Amilasa (Amilasa Total)	0	$62.93 	$73.00 
101	Amilasa Total (Alfa-Amilasa)	0	$62.93 	$73.00 
105	Aminofilina (Teofilina)	0	$497.41 	$577.00 
105	Teofilina (Aminofilina)	0	$497.41 	$577.00 
124	Amonio	0	$173.28 	$201.00 
126	Androstenediona	2	$168.10 	$195.00 
130	Anfetaminas en Orina	0	$137.07 	$159.00 
134	Ac. Anti-Antígeno Virus Hepatitis C	0	$251.72 	$292.00 
134	Ac. Anti-Hepatitis C	0	$251.72 	$292.00 
134	"Hepatitis C, Anticuerpos"	0	$251.72 	$292.00 
135	Ac. Anti-Ácido Desoxirribonucleico de Doble Cadena	1	$210.34 	$244.00 
135	Ac. Anti-DNA de Doble Cadena	1	$210.34 	$244.00 
135	Ac. Anti-DNA Nativo	1	$210.34 	$244.00 
137	Ac. Anti-Amiba	3	$307.76 	$357.00 
137	Serameba	3	$307.76 	$357.00 
138	Ac. Anti-Antígeno Virus Hepatitis D Totales	2	$318.10 	$369.00 
138	Ac. Anti-Hepatitis D Totales	2	$318.10 	$369.00 
138	"Hepatitis D, Anticuerpos Totales"	2	$318.10 	$369.00 
141	Ac. Anti-Antígeno Virus Hepatitis A IgG	0	$262.07 	$304.00 
141	Ac. Anti-Hepatitis A IgG	0	$262.07 	$304.00 
141	"Hepatitis A, Anticuerpos IgG"	0	$262.07 	$304.00 
144	Ac. Anti-Antígeno de Superficie Virus Hepatitis B (Ac. Anti-HBsAg) 	0	$240.52 	$279.00 
144	Ac. Anti-HBsAg	0	$240.52 	$279.00 
150	Ac. Anti-Cisticerco	3	$250.86 	$291.00 
150	"Cisticerco, Anticuerpos"	3	$250.86 	$291.00 
151	Ac. Anti-Citomegalovirus (CMV) IgG	1	$172.41 	$200.00 
151	"Citomegalovirus (CMV) IgG, Anticuerpos"	1	$172.41 	$200.00 
152	Ac. Anti-Chlamydia trachomatis IgG	1	$272.41 	$316.00 
152	"Chlamydia trachomatis IgG, Anticuerpos"	1	$272.41 	$316.00 
158	Ac. Anti-Espermatozoides	2	$368.10 	$427.00 
158	"Espermatozoides, Anticuerpos"	2	$368.10 	$427.00 
161	Ac. Anti-Fosfolípidos IgG	3	$273.28 	$317.00 
161	"Fosfolípidos IgG, Anticuerpos"	3	$273.28 	$317.00 
162	Ac. Anti-Helicobacter pylori IgG	1	$250.00 	$290.00 
162	"Helicobacter pylori IgG, Anticuerpos"	1	$250.00 	$290.00 
170	Ac. Anti-Mycobacterium tuberculosis	2	$275.00 	$319.00 
170	Ac. Anti-Tuberculosis	2	$275.00 	$319.00 
173	Ac. Anti-Mitocondriales (M2a/M2c)	3	$326.72 	$379.00 
173	"Mitocondriales (M2a/M2c), Anticuerpos"	3	$326.72 	$379.00 
177	Ac. Anti-Nucleares (ANA)	1	$168.10 	$195.00 
177	ANA (Ac. Anti-Nucleares)	1	$168.10 	$195.00 
186	Ac. Anti-Rubeola IgG	0	$159.48 	$185.00 
186	"Rubeola IgG, Anticuerpos"	0	$159.48 	$185.00 
189	Ac. Anti-Smith	1	$251.72 	$292.00 
189	"Smith, Anticuerpos"	1	$251.72 	$292.00 
194	Ac. Anti-Toxoplasma IgM	0	$159.48 	$185.00 
